RAM stockid,Old Area,New Area
PSALMDUNGENHC,unk:USA-WASTATE-DUNGENHC,"fao:61,fao:67,fao:77;usa_huc:1711002003"
CSALMJDFS,unk:USA-WASTATE-JDFS,"fao:61,fao:67,fao:77;usa_huc:17110021"
SSALMLWASH,unk:USA-WASTATE-LWASH,"fao:61,fao:67,fao:77;usa_huc:70102040402"
BMARLINPAC,unk:multinational-ISC-PAC,fao:61;fao:67;fao:71;fao:77;fao:81;fao:87
PACBTUNA,unk:multinational-ISC-PAC,fao:61;fao:67;fao:71;fao:77;fao:81;fao:87
CSALMAKPSESCD,unk:USA-AKSTATE-AKPSESCD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_akpsescd
CSALMAKPSWUD,unk:USA-AKSTATE-AKPSWUD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_akpswud
CSALMANDREAR,unk:USA-AKSTATE-ANDREAR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_andrear
CSALMANVIKR,unk:USA-AKSTATE-ANVIKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_anvikr
CSALMBEARR,unk:USA-AKSTATE-BEARR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_bearr
CSALMBECHSNWD,unk:USA-AKSTATE-BECHSNWD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_bechsnwd
CSALMBLKAMR,unk:USA-AKSTATE-BLKAMR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_blkamr
CSALMBRUINR,unk:USA-AKSTATE-BRUINR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_bruinr
CSALMCARIBOUF,unk:USA-AKSTATE-CARIBOUF,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_caribouf
CSALMCHIDWD,unk:USA-AKSTATE-CHIDWD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_chidwd
CSALMCHIGCD,unk:USA-AKSTATE-CHIGCD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_chigcd
CSALMCHIGED,unk:USA-AKSTATE-CHIGED,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_chiged
CSALMCINDERR,unk:USA-AKSTATE-CINDERR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_cinderr
CSALMCWCIR,unk:USA-AKSTATE-CWCIR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_cwcir
CSALMDFL,unk:USA-AKSTATE-DFL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_dfl
CSALMEALSEKR,unk:USA-AKSTATE-EALSEKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_ealsekr
CSALMFISHC,unk:USA-AKSTATE-FISHC,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_fishc
CSALMGOLOVIN,unk:USA-AKSTATE-GOLOVIN,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_golovin
CSALMGOODNEWSR,unk:USA-AKSTATE-GOODNEWSR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_goodnewsr
CSALMIZEMBEKMNWD,unk:USA-AKSTATE-IZEMBEKMNWD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_izembekmnwd
CSALMKADASHANC,unk:USA-AKSTATE-KADASHANC,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_kadashanc
CSALMKANEKTOKR,unk:USA-AKSTATE-KANEKTOKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_kanektokr
CSALMKOTZEBUES,unk:USA-AKSTATE-KOTZEBUES,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_kotzebues
CSALMKTRNS,unk:USA-AKSTATE-KTRNS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_ktrns
CSALMKUSKOKWIM,unk:USA-AKSTATE-KUSKOKWIM,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_kuskokwim
CSALMMNRSD,unk:USA-AKSTATE-MNRSD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_mnrsd
CSALMNELSONL,unk:USA-AKSTATE-NELSONL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_nelsonl
CSALMNORTONB,unk:USA-AKSTATE-NORTONB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_nortonb
CSALMNORTONSD1,unk:USA-AKSTATE-NORTONSD1,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_nortonsd1
CSALMNUSHAGAKD,unk:USA-AKSTATE-NUSHAGAKD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_nushagakd
CSALMPDIC,unk:USA-AKSTATE-PDIC,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_pdic
CSALMPERRYVILLED,unk:USA-AKSTATE-PERRYVILLED,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_perryvilled
CSALMPGRAHAM,unk:USA-AKSTATE-PGRAHAM,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_pgraham
CSALMPHEIDEN,unk:USA-AKSTATE-PHEIDEN,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_pheiden
CSALMPMOLLERBT,unk:USA-AKSTATE-PMOLLERBT,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_pmollerbt
CSALMROCKYR,unk:USA-AKSTATE-ROCKYR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_rockyr
CSALMSHAKTOOLIK,unk:USA-AKSTATE-SHAKTOOLIK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_shaktoolik
CSALMTHREEH,unk:USA-AKSTATE-THREEH,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_threeh
CSALMTOGD,unk:USA-AKSTATE-TOGD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_togd
CSALMUCOOKI,unk:USA-AKSTATE-UCOOKI,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_ucooki
CSALMUNALAKLEET,unk:USA-AKSTATE-UNALAKLEET,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_unalakleet
CSALMURSUSCL,unk:USA-AKSTATE-URSUSCL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_ursuscl
CSALMYUKONRFR,unk:USA-AKSTATE-YUKONRFR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_yukonrfr
CSALMYUKONRSR,unk:USA-AKSTATE-YUKONRSR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_ChumSalmon_EFH_yukonrsr
PSALMAFFLECKCI,unk:USA-AKSTATE-AFFLECKCI,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_affleckci
PSALMAFOGNAKD,unk:USA-AKSTATE-AFOGNAKD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_afognakd
PSALMAIALIKL,unk:USA-AKSTATE-AIALIKL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_aialikl
PSALMAKPNWD,unk:USA-AKSTATE-AKPNWD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_akpnwd
PSALMAKPSESCD,unk:USA-AKSTATE-AKPSESCD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_akpsescd
PSALMAKPSWUD,unk:USA-AKSTATE-AKPSWUD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_akpswud
PSALMALITAKD,unk:USA-AKSTATE-ALITAKD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_alitakd
PSALMAMAKC,unk:USA-AKSTATE-AMAKC,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_amakc
PSALMANAN,unk:USA-AKSTATE-ANAN,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_anan
PSALMAUKEC,unk:USA-AKSTATE-AUKEC,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_aukec
PSALMBARABARA,unk:USA-AKSTATE-BARABARA,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_barabara
PSALMBARANOFE,unk:USA-AKSTATE-BARANOFE,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_baranofe
PSALMBKAMISHAKR,unk:USA-AKSTATE-BKAMISHAKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_bkamishakr
PSALMBRUINR,unk:USA-AKSTATE-BRUINR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_bruinr
PSALMBURNETT,unk:USA-AKSTATE-BURNETT,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_burnett
PSALMCHIGNIKBD,unk:USA-AKSTATE-CHIGNIKBD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_chignikbd
PSALMCHIGNIKCD,unk:USA-AKSTATE-CHIGNIKCD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_chignikcd
PSALMCHIGNIKED,unk:USA-AKSTATE-CHIGNIKED,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_chigniked
PSALMCHIGNIKWD,unk:USA-AKSTATE-CHIGNIKWD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_chignikwd
PSALMCHINAP,unk:USA-AKSTATE-CHINAP,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_chinap
PSALMCOGHILLD,unk:USA-AKSTATE-COGHILLD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_coghilld
PSALMDOGFISH,unk:USA-AKSTATE-DOGFISH,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_dogfish
PSALMEBEHM,unk:USA-AKSTATE-EBEHM,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_ebehm
PSALMEDALL,unk:USA-AKSTATE-EDALL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_edall
PSALMELIZAH,unk:USA-AKSTATE-ELIZAH,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_elizah
PSALMESHAMYD,unk:USA-AKSTATE-ESHAMYD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_eshamyd
PSALMESND,unk:USA-AKSTATE-ESND,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_esnd
PSALMFARRAGUT,unk:USA-AKSTATE-FARRAGUT,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_farragut
PSALMFRESHWB,unk:USA-AKSTATE-FRESHWB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_freshwb
PSALMGOLOVIN,unk:USA-AKSTATE-GOLOVIN,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_golovin
PSALMHETTA,unk:USA-AKSTATE-HETTA,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_hetta
PSALMHOMES,unk:USA-AKSTATE-HOMES,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_homes
PSALMHOONAHS,unk:USA-AKSTATE-HOONAHS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_hoonahs
PSALMHOUGHTON,unk:USA-AKSTATE-HOUGHTON,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_houghton
PSALMHUMPCY,unk:USA-AKSTATE-HUMPCY,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_humpcy
PSALMHUMPYCCISD,unk:USA-AKSTATE-HUMPYCCISD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_humpyccisd
PSALMIGUSHIK,unk:USA-AKSTATE-IGUSHIK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_igushik
PSALMJAMESLOD,unk:USA-AKSTATE-JAMESLOD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_jameslod
PSALMKASAAN,unk:USA-AKSTATE-KASAAN,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_kasaan
PSALMKELPB,unk:USA-AKSTATE-KELPB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_kelpb
PSALMKLAWOCK,unk:USA-AKSTATE-KLAWOCK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_klawock
PSALMKODIAKMD,unk:USA-AKSTATE-KODIAKMD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_kodiakmd
PSALMKODIAKWD,unk:USA-AKSTATE-KODIAKWD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_kodiakwd
PSALMKUSKOKWIM,unk:USA-AKSTATE-KUSKOKWIM,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_kuskokwim
PSALMLISIANSKI,unk:USA-AKSTATE-LISIANSKI,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_lisianski
PSALMLKAMR,unk:USA-AKSTATE-LKAMR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_lkamr
PSALMLYNNCD112,unk:USA-AKSTATE-LYNNCD112,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_lynncd112
PSALMLYNNCD115,unk:USA-AKSTATE-LYNNCD115,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_lynncd115
PSALMMOIRA,unk:USA-AKSTATE-MOIRA,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_moira
PSALMMONTD,unk:USA-AKSTATE-MONTD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_montd
PSALMMPNBNS,unk:USA-AKSTATE-MPNBNS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_mpnbns
PSALMNCHICHAGO,unk:USA-AKSTATE-NCHICHAGO,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_nchichago
PSALMNOME,unk:USA-AKSTATE-NOME,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_nome
PSALMNUNAKWIKD,unk:USA-AKSTATE-NUNAKWIKD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_nunakwikd
PSALMNUSHAGAKR,unk:USA-AKSTATE-NUSHAGAKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_nushagakr
PSALMPCHATHAM,unk:USA-AKSTATE-PCHATHAM,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_pchatham
PSALMPDICK,unk:USA-AKSTATE-PDICK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_pdick
PSALMPERRYVILLED,unk:USA-AKSTATE-PERRYVILLED,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_perryvilled
PSALMPGRAHAMSD,unk:USA-AKSTATE-PGRAHAMSD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_pgrahamsd
PSALMPORTAGEB,unk:USA-AKSTATE-PORTAGEB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_portageb
PSALMPORTLAND,unk:USA-AKSTATE-PORTLAND,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_portland
PSALMPORTLOCK,unk:USA-AKSTATE-PORTLOCK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_portlock
PSALMPWSED,unk:USA-AKSTATE-PWSED,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_pwsed
PSALMPWSNWD,unk:USA-AKSTATE-PWSNWD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_pwsnwd
PSALMPWSSED,unk:USA-AKSTATE-PWSSED,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_pwssed
PSALMPWSSWD,unk:USA-AKSTATE-PWSSWD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_pwsswd
PSALMPYBUSGA,unk:USA-AKSTATE-PYBUSGA,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_pybusga
PSALMRATZH,unk:USA-AKSTATE-RATZH,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_ratzh
PSALMRESB,unk:USA-AKSTATE-RESB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_resb
PSALMROCKYROD,unk:USA-AKSTATE-ROCKYROD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_rockyrod
PSALMSAGINWB,unk:USA-AKSTATE-SAGINWB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_saginwb
PSALMSAKP,unk:USA-AKSTATE-SAKP,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_sakp
PSALMSALISBURY,unk:USA-AKSTATE-SALISBURY,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_salisbury
PSALMSASHINCNI,unk:USA-AKSTATE-SASHINCNI,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_sashincni
PSALMSBPCKD,unk:USA-AKSTATE-SBPCKD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_sbpckd
PSALMSEAOTTER,unk:USA-AKSTATE-SEAOTTER,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_seaotter
PSALMSEBARAN,unk:USA-AKSTATE-SEBARAN,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_sebaran
PSALMSELDOVIAB,unk:USA-AKSTATE-SELDOVIAB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_seldoviab
PSALMSEYMOUR,unk:USA-AKSTATE-SEYMOUR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_seymour
PSALMSHAKTOOLIKNS,unk:USA-AKSTATE-SHAKTOOLIKNS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_shaktoolikns
PSALMSHIPLEY,unk:USA-AKSTATE-SHIPLEY,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_shipley
PSALMSITKAS,unk:USA-AKSTATE-SITKAS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_sitkas
PSALMSITUKR,unk:USA-AKSTATE-SITUKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_situkr
PSALMSLOCUM,unk:USA-AKSTATE-SLOCUM,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_slocum
PSALMSNAKER,unk:USA-AKSTATE-SNAKER,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_snaker
PSALMSTEPHENS,unk:USA-AKSTATE-STEPHENS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_stephens
PSALMSTIKINE,unk:USA-AKSTATE-STIKINE,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_stikine
PSALMSWADMIR,unk:USA-AKSTATE-SWADMIR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_swadmir
PSALMTANAKEE,unk:USA-AKSTATE-TANAKEE,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_tanakee
PSALMTEBENKOF,unk:USA-AKSTATE-TEBENKOF,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_tebenkof
PSALMTOTEMB,unk:USA-AKSTATE-TOTEMB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_totemb
PSALMTUTKASD,unk:USA-AKSTATE-TUTKASD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_tutkasd
PSALMUCOOKI,unk:USA-AKSTATE-UCOOKI,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_ucooki
PSALMUNALAKLEETNS,unk:USA-AKSTATE-UNALAKLEETNS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_unalakleetns
PSALMUNIONB,unk:USA-AKSTATE-UNIONB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_unionb
PSALMWADMIRAL,unk:USA-AKSTATE-WADMIRAL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_wadmiral
PSALMWBEHM,unk:USA-AKSTATE-WBEHM,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_wbehm
PSALMWCRAWFISH,unk:USA-AKSTATE-WCRAWFISH,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_wcrawfish
PSALMWHALEB,unk:USA-AKSTATE-WHALEB,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_whaleb
PSALMWHALEP,unk:USA-AKSTATE-WHALEP,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_whalep
PSALMWINDYC,unk:USA-AKSTATE-WINDYC,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_windyc
PSALMWOODR,unk:USA-AKSTATE-WOODR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_PinkSalmon_EFH_woodr
SSALMAKALURAL,unk:USA-AKSTATE-AKALURAL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_akalural
SSALMAWKER,unk:USA-AKSTATE-AWKER,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_awker
SSALMBEARR,unk:USA-AKSTATE-BEARR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_bearr
SSALMBLACKL,unk:USA-AKSTATE-BLACKL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_blackl
SSALMBRANCH,unk:USA-AKSTATE-BRANCH,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_branch
SSALMBUSKINL,unk:USA-AKSTATE-BUSKINL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_buskinl
SSALMCHIGNIKL,unk:USA-AKSTATE-CHIGNIKL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_chignikl
SSALMCHILKATL,unk:USA-AKSTATE-CHILKATL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_chilkatl
SSALMCHILKOOTL,unk:USA-AKSTATE-CHILKOOTL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_chilkootl
SSALMEALSEKDR,unk:USA-AKSTATE-EALSEKDR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_ealsekdr
SSALMEGEGIK,unk:USA-AKSTATE-EGEGIK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_egegik
SSALMEUPPERS,unk:USA-AKSTATE-EUPPERS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_euppers
SSALMIGUSHIK,unk:USA-AKSTATE-IGUSHIK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_igushik
SSALMILNIKR,unk:USA-AKSTATE-ILNIKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_ilnikr
SSALMITALOR,unk:USA-AKSTATE-ITALOR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_italor
SSALMKARLUKL,unk:USA-AKSTATE-KARLUKL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_karlukl
SSALMKLUKSHUR,unk:USA-AKSTATE-KLUKSHUR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_klukshur
SSALMKUSKOKWIM,unk:USA-AKSTATE-KUSKOKWIM,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_kuskokwim
SSALMKVICHAK,unk:USA-AKSTATE-KVICHAK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_kvichak
SSALMLOSTR,unk:USA-AKSTATE-LOSTR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_lostr
SSALMLRIVER,unk:USA-AKSTATE-LRIVER,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_lriver
SSALMLUPPERS,unk:USA-AKSTATE-LUPPERS,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_luppers
SSALMMALINAL,unk:USA-AKSTATE-MALINAL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_malinal
SSALMMCDONALD,unk:USA-AKSTATE-MCDONALD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_mcdonald
SSALMNAKNEK,unk:USA-AKSTATE-NAKNEK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_naknek
SSALMNELSONR,unk:USA-AKSTATE-NELSONR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_nelsonr
SSALMNUSHAGAK,unk:USA-AKSTATE-NUSHAGAK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_nushagak
SSALMNUYAKUK,unk:USA-AKSTATE-NUYAKUK,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_nuyakuk
SSALMORZINSKIL,unk:USA-AKSTATE-ORZINSKIL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_orzinskil
SSALMPASAGSHAKR,unk:USA-AKSTATE-PASAGSHAKR,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_pasagshakr
SSALMPAULSBD,unk:USA-AKSTATE-PAULSBD,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_paulsbd
SSALMREDOUBTL,unk:USA-AKSTATE-REDOUBTL,fao:61;fao:67;fao:77;grsf:USA_NPFMC_SockeyeSalmon_EFH_redoubtl
