RAM stockid,Old Area,New Area
PANDALSMAGTSE,unk:Canada-DFO-SMA-GTSE,can_dfo_sma:GSTE
SSHRIMPSMAGTSE,unk:Canada-DFO-SMA-GTSE,can_dfo_sma:GSTE
PANDALSMAPRD,unk:Canada-DFO-SMA-PRD,can_dfo_sma:PRD
SSHRIMPSMAPRD,unk:Canada-DFO-SMA-PRD,can_dfo_sma:PRD
SCALLSPA1-6,unk:Canada-DFO-SPA1-6,can_dfo_spa_sca:1A;can_dfo_spa_sca:1B;can_dfo_spa_sca:2;can_dfo_spa_sca:3;can_dfo_spa_sca:4;can_dfo_spa_sca:5;can_dfo_spa_sca:6
WPOLLBCWS,unk:Canada-DFO-BCWS,can_dfo_pfmc:3C;can_dfo_pfmc:3D;can_dfo_pfmc:5A;can_dfo_pfmc:5B;can_dfo_pfmc:12;can_dfo_pfmc:20
WPOLLBCWN,unk:Canada-DFO-BCWN,can_dfo_pfmc:5C;can_dfo_pfmc:5D;can_dfo_pfmc:5E
SARDNWAZAB,unk:multinational-FAO-NWAZAB,cecaf:A+B
SARDNWAZC,unk:multinational-FAO-NWAZC,cecaf:C
ANCHONWA,unk:multinational-FAO-NWA,cecaf:N;cecaf:A+B
RSARDNWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.2;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12,cecaf:N;cecaf:A+B;cecaf:C
MSARDNWA,unk:multinational-FAO-NWA,cecaf:N;cecaf:A+B;cecaf:C 
RSQLOBSTERNCH,unk:Chile-SUBPESCA-CH-N,chl:I;chl:II;chl:III;chl:IV;chl:XV
PANCHNCH,unk:Chile-SUBPESCA-CH-N,chl:I;chl:II;chl:III;chl:IV;chl:XV
BSQLOBSTERNCH,unk:Chile-SUBPESCA-CH-N,chl:I;chl:II;chl:III;chl:IV;chl:XV
NSHRIMPNCH,unk:Chile-SUBPESCA-CH-N,chl:I;chl:II;chl:III;chl:IV;chl:XV
SBREAMCH,unk:multinational-SPRFMO-CHL,chl:III;chl:IV;chl:V;chl:VI;chl:VII;chl:VIII;chl:IX;chl:X;chl:XIV;chl:XVI
OROUGHYCH,unk:multinational-SPRFMO-CHL,chl:IV;chl:V;chl:VI;chl:VII
PANCHCHVX,unk:Chile-SUBPESCA-CHV-X,chl:V;chl:VI;chl:VII;chl:VIII;chl:IX;chl:X
PANCHSCH,unk:Chile-SUBPESCA-CH-S,chl:V;chl:VI;chl:VII;chl:VIII;chl:IX;chl:X;chl:XIV;chl:XVI
YNOSESKASCH,unk:Chile-SUBPESCA-CH-S,chl:V;chl:VI;chl:VII;chl:VIII;chl:IX;chl:X;chl:XIV;chl:XVI
CHERRCHVX,unk:Chile-SUBPESCA-CH-CS,chl:V;chl:VI;chl:VII;chl:VIII;chl:IX;chl:X;chl:XIV;chl:XVI
RSQLOBSTERCH,unk:Chile-SUBPESCA-CH,chl:V;chl:VI;chl:VII;chl:VIII;chl:XVI
AFLONCH,unk:multinational-SPRFMO-CHL,chl:V;chl:VI;chl:VII;chl:VIII;chl:XVI
PATGRENADIERSARG,unk:Argentina-CFP-ARG-S,eez:ARG
YNOSESKACH,unk:Chile-SUBPESCA-CH,eez:CHL
PCEELCH,unk:Chile-SUBPESCA-CH,eez:CHL
SOUTHHAKECH,unk:Chile-SUBPESCA-CH-CS,eez:CHL
BSQLOBSTERCH,unk:Chile-SUBPESCA-CH,eez:CHL
NSHRIMPCH,unk:Chile-SUBPESCA-CH,eez:CHL
SSARDCH,unk:Chile-SUBPESCA-CH-CS,eez:CHL
BGRUNTCWACOG_AGO,unk:multinational-FAO-CWACOG_AGO,eez:COG;eez:COD;eez:AGO
CATCWAGAB,unk:multinational-FAO-CWAGAB,eez:GAB
BONGACWAGAB-COD,unk:multinational-FAO-CWAGAB-COD,eez:GAB;eez:COG;eez:COD
SOLECWAGAB-COD,unk:multinational-FAO-CWAGAB-COD,eez:GAB;eez:COG;eez:COD
ANCHOCWAGAB-AGO,unk:multinational-FAO-CWAGAB-AGO,eez:GAB;eez:STP;eez:COG;eez:COD;eez:AGO
GGRUNTCWAGAB-AGO,unk:multinational-FAO-CWAGAB-AGO,eez:GAB;eez:STP;eez:COG;eez:COD;eez:AGO
CROAKSPPCWAGAB-AGO,unk:multinational-FAO-CWAGAB-AGO,eez:GAB;eez:STP;eez:COG;eez:COD;eez:AGO
BRMSPPCWAGAB-AGO,unk:multinational-FAO-CWAGAB-AGO,eez:GAB;eez:STP;eez:COG;eez:COD;eez:AGO
THREADCWAGAB-AGO,unk:multinational-FAO-CWAGAB-AGO,eez:GAB;eez:STP;eez:COG;eez:COD;eez:AGO
CHMACKCWAGAB-AGO,unk:multinational-FAO-CWAGAB-AGO,eez:GAB;eez:STP;eez:COG;eez:COD;eez:AGO
SARDINCWAGAB-AGO,unk:multinational-FAO-CWAGAB-AGO,eez:GAB;eez:STP;eez:COG;eez:COD;eez:AGO
CUTTLECWAGHA,unk:multinational-FAO-CWAGHA,eez:GHA
OCTOCWAGNB,unk:multinational-FAO-CWAGNB,eez:GNB
JAMBERJPN,unk:Japan-FAJ-JPN,eez:JPN
HAKESPPSAF,unk:Namibia-NMFMR-SAF,eez:NAM
BNSNZ,unk:New Zealand-MFish-NZ,eez:nzl
GEMFISHNZ,unk:New Zealand-MFish-NZ,eez:nzl
AUSSALMONNZ,unk:New Zealand-MFish-NZ,eez:nzl
COD1IN,unk:multinational-ICES-1IN,fao:21.1
BSKATCANATL,unk:Canada-DFO-ATL,"fao:21.2.G;fao:21.2.H;fao:21.2.J;fao:21.3.K;fao:21.3.L;fao:21.3.O;fao:21.3.Pn;fao:21.3.Ps;fao:21.4.R;fao:21.4.S;fao:21.4.T;fao:21.4.Vn;fao:21.4.Vs,4.W;fao:21.4.X"
REDFISHSPPUT2,unk:Canada-DFO-UT2,fao:21.3.P.s;fao:21.4.V.s;fao:21.4.W.f;fao:21.4.W.g;fao:21.4.W.j;fao:21.3.P.n;fao:21.4.V.n
ARCSURF4RST,unk:Canada-DFO-Q4RST,fao:21.4.R;fao:21.4.S;fao:21.4.T
REDFISHSPPUT1,unk:Canada-DFO-UT1,fao:21.4.R;fao:21.4.S;fao:21.4.T;fao:21.3.P.n;fao:21.4.V.n
SURFIDLM,unk:Canada-DFO-IDLM,fao:21.4.T
CODGOM,fao:21.5.Y,fao:21.5.Y
HAD5Y,fao:21.5.Y,fao:21.5.Y
LOBSTERGOM,fao:21.5.Y,fao:21.5.Y
PANDALGOM,fao:21.5.Y,fao:21.5.Y
WINFLOUND5Y,fao:21.5.Y,fao:21.5.Y
WITFLOUN5Y,fao:21.5.Y,fao:21.5.Y
CODGB,fao:21.5.Z,fao:21.5.Y
LOBSTERGB,fao:21.5.Z,fao:21.5.Y
WINFLOUN5Z,fao:21.5.Z,fao:21.5.Y
AMPL5YZ,fao:21.5.Y;fao:21.5.Z,fao:21.5.Y;fao:21.5.Zu
ATHAL5YZ,fao:21.5.Y;fao:21.5.Z,fao:21.5.Y;fao:21.5.Zu
AWOLF5YZ,fao:21.5.Y;fao:21.5.Z,fao:21.5.Y;fao:21.5.Zu
POLL5YZ,fao:21.5.Y;fao:21.5.Z,fao:21.5.Y;fao:21.5.Zu
WINDOWGOMGB,fao:21.5.Y;fao:21.5.Z,fao:21.5.Y;fao:21.5.Zu
WHAKEGBGOM,fao:21.5.Y;fao:21.5.Z,fao:21.5.Y;fao:21.5.Zu
ACADREDGOMGB,fao:21.5.Y;fao:21.5.Z,fao:21.5.Y;fao:21.5.Zu
BLSHARNATL,iccat:ALB_N;iccat:SWO_N,fao:21;fao:27;fao:31;fao:34.1;fao:34.2;fao:34.3.1;fao:34.3.2;fao:34.3.3;fao:34.3.4;fao:34.3.5;fao:34.4.2
SFMAKONATL,iccat:ALB_N;iccat:SWO_N,fao:21;fao:27;fao:31;fao:34.1;fao:34.2;fao:34.3.1;fao:34.3.2;fao:34.3.3;fao:34.3.4;fao:34.3.5;fao:34.4.2
PORSHARATL,unk:Canada-DFO-ATL,fao:21;fao:31
KFSHARNEATL,unk:multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,fao:27
BKSFNEATL,fao:27.1;fao:27.12;fao:27.14;fao:27.2;fao:27.3;fao:27.4;fao:27.5;fao:27.6;fao:27.7;fao:27.8;fao:27.9,fao:27.1;fao:27.10;fao:27.12.b;fao:27.14;fao:27.2;fao:27.3.a;fao:27.4;fao:27.5.a;fao:27.5.b;fao:27.6;fao:27.7;fao:27.8;fao:27.9.a
BSKSHARNEATL,fao:27.1;fao:27.12;fao:27.14;fao:27.2;fao:27.3;fao:27.4;fao:27.5;fao:27.6;fao:27.7;fao:27.8;fao:27.9,fao:27.1;fao:27.10;fao:27.12;fao:27.14;fao:27.2;fao:27.3;fao:27.4;fao:27.5;fao:27.6;fao:27.7;fao:27.8;fao:27.9
PORSHARNEATL,unk:multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,fao:27.1;fao:27.10;fao:27.12;fao:27.14;fao:27.2;fao:27.3;fao:27.4;fao:27.5;fao:27.6;fao:27.7;fao:27.8;fao:27.9
ASHARNEATL,unk:multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,fao:27.1;fao:27.2;fao:27.3;fao:27.4;fao:27.5;fao:27.6;fao:27.7;fao:27.8;fao:27.9;fao:27.10;fao:27.12;fao:27.14
RHGRENNEATL,unk:multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,fao:27.1;fao:27.2;fao:27.3;fao:27.4;fao:27.5;fao:27.6;fao:27.7;fao:27.8;fao:27.9;fao:27.10;fao:27.12;fao:27.14
SHSPPNEATL,unk:multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-X-XII-XIV,fao:27.1;fao:27.2;fao:27.3;fao:27.4;fao:27.5;fao:27.6;fao:27.7;fao:27.8;fao:27.9;fao:27.10;fao:27.12;fao:27.14
RBRMX,fao:27.1,fao:27.10
PANDALIIIaW-IVaE,unk:multinational-ICES-IIIaW-IVaE,fao:27.3.a;fao:27.4.a
BRILLIIIa-IV-VIIde,unk:multinational-ICES-IIIa-IV-VIIde,fao:27.3.a;fao:27.4;fao:27.7.d;fao:27.7.e
STROUT22-32,fao:27.3.b.23;fao:27.3.c.22;fao:27.3.d.24;fao:27.3.d.25;fao:27.3.d.26;fao:27.3.d.27;fao:27.3.d.28;fao:27.3.d.28.1;fao:27.3.d.28.2;fao:27.3.d.29;fao:27.3.d.30;fao:27.3.d.31;fao:27.3.d.32,fao:27.3.b.23;fao:27.3.c.22;fao:27.3.d.24;fao:27.3.d.25;fao:27.3.d.26;fao:27.3.d.27;fao:27.3.d.28;fao:27.3.d.29;fao:27.3.d.30;fao:27.3.d.31;fao:27.3.d.32
HERRRIGA,unk:multinational-ICES-RIGA,fao:27.3.d.28.1
EBASSVIa-VIIb-j,fao:27.6.a;fao:27.7.b;fao:27.7.c;fao:27.7.d;fao:27.7.e;fao:27.7.f;fao:27.7.h;fao:27.7.i;fao:27.7.j,fao:27.6.a;fao:27.7.b;fao:27.7.j
LSDOGVI-VIIabcefghij,fao:27.6;fao:27.7.a;fao:27.7.b;fao:27.7.c;fao:27.7.e;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.i;fao:27.7.j,fao:27.6;fao:27.7.a;fao:27.7.b;fao:27.7.c;fao:27.7.e;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.j
STRMULLVI-VIIabcefghijk-VIII-IXa,fao:27.6;fao:27.7.a;fao:27.7.b;fao:27.7.c;fao:27.7.e;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.i;fao:27.7.j;fao:27.7.k;fao:27.8;fao:27.9.a,fao:27.6;fao:27.7.a;fao:27.7.b;fao:27.7.c;fao:27.7.e;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.j;fao:27.7.k;fao:27.8;fao:27.9.a
SPRATVI-VIIabcfghijk,fao:27.6;fao:27.7.a;fao:27.7.b;fao:27.7.c;fao:27.7.f;fao:27.7.h;fao:27.7.i;fao:27.7.j;fao:27.7.k,fao:27.6;fao:27.7.a;fao:27.7.b;fao:27.7.c;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.j;fao:27.7.k
HERRSIRS,unk:multinational-ICES-VIIa-g-h-j-k,fao:27.7.a;fao:27.7.g;fao:27.7.h;fao:27.7.j;fao:27.7.k
FMEGVIIb-k_VIIIabd,unk:multinational-ICES-VIIb-k_VIIIabd,fao:27.7.b;fao:27.7.c;fao:27.7.d;fao:27.7.e;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.j;fao:27.7.k;fao:27.8.a;fao:27.8.b;fao:27.8.d
WHITVIIbce-k,unk:multinational-ICES-VIIbce-k,fao:27.7.b;fao:27.7.c;fao:27.7.e;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.j;fao:27.7.k
HAKENWAMAR,unk:multinational-FAO-NWAMAR,fao:34.1.11;fao:34.1.12;fao:34.1.13
PANDSPPNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13
SPSHRIMPCWA,unk:multinational-FAO-CWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31
LDENTNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
RGRUNTNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
HAKESPPNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
FSCADNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
CHMACKNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
HMACKNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
CMACKNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
RPANDNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
AXBRMNWA,unk:multinational-FAO-NWA,fao:34.1.11;fao:34.1.12;fao:34.1.13;fao:34.1.31;fao:34.1.32;fao:34.3.11;fao:34.3.12
CUTTLENWADAK,unk:multinational-FAO-NWADAK,fao:34.1.31;fao:34.1.32
OCTONWADAK,unk:multinational-FAO-NWADAK,fao:34.1.31;fao:34.1.32
ESQUIDNWADAK,unk:multinational-FAO-NWADAK,fao:34.1.31;fao:34.1.32
CUTTLENWACBL,unk:multinational-FAO-NWACBL,fao:34.1.32;fao:34.3.11
OCTONWACBL,unk:multinational-FAO-NWACBL,fao:34.1.32;fao:34.3.11
ESQUIDNWACBL,unk:multinational-FAO-NWACBL,fao:34.1.32;fao:34.3.11
BONGANWA,unk:multinational-FAO-NWA,fao:34.1.32;fao:34.3.11;fao:34.3.12
BSBRMNWAMRT-SEN,unk:multinational-FAO-NWAMRT-SEN,fao:34.1.32;fao:34.3.11;fao:34.3.12
WGROUPNWAMRT-SEN,unk:multinational-FAO-NWAMRT-SEN,fao:34.1.32;fao:34.3.11;fao:34.3.12
CATNWASEN_GMB,unk:multinational-FAO-NWASEN_GMB,fao:34.3.12
CROAKSPPNWASEN_GMB,unk:multinational-FAO-NWASEN_GMB,fao:34.3.12
CUTTLENWASEN_GMB,unk:multinational-FAO-NWASEN_GMB,fao:34.3.12
OCTONWASEN_GMB,unk:multinational-FAO-NWASEN_GMB,fao:34.3.12
ESQUIDNWASEN_GMB,unk:multinational-FAO-NWASEN_GMB,fao:34.3.12
SOLECWAGNB-GIN,unk:multinational-FAO-CWAGNB-GIN,fao:34.3.13
CATCWAGIN-LBR,unk:multinational-FAO-CWAGIN-LBR,fao:34.3.13;fao:34.3.3
GGRUNTCWAGIN-LBR,unk:multinational-FAO-CWAGIN-LBR,fao:34.3.13;fao:34.3.3
CROAKSPPCWAGIN-LBR,unk:multinational-FAO-CWAGIN-LBR,fao:34.3.13;fao:34.3.3
